DTW,DistanceNormalization,FeatureNormalization,Clustering,Feature,SteelPenny,RobinsonFoulds
DTW-D,by-max,CMN,WPGMC,MSRCC,0.64643080496739,1279.43802622715
DTW-D,by-max,CMN,Ward,MSRCC,0.349352273742518,603.121455285767
DTW-D,by-max,CMN,NJ,MSRCC,0.289761458054141,575.065460260785
DTW-D,by-max,CMN,Single,NGCC,0.40418118466899,928.206430088186
DTW-D,by-max,CMN,Complete,NGCC,0.355606182435451,597.167015364173
DTW-D,by-max,CMN,UPGMA,NGCC,0.35956401322255,663.462773508872
DTW-D,by-max,CMN,WPGMA,NGCC,0.361029214687751,658.463753254112
DTW-D,by-max,CMN,UPGMC,NGCC,0.540695077280443,1412.34218759517
DTW-D,by-max,CMN,WPGMC,NGCC,0.549915125524882,1253.70922690118
DTW-D,by-max,CMN,Ward,NGCC,0.400044670776378,660.311428389176
DTW-D,by-max,CMN,NJ,NGCC,0.266595193424462,463.371551796938
DTW-D,by-max,CMN,Single,PNCC,0.4736531760922,1077.27513607643
DTW-D,by-max,CMN,Complete,PNCC,0.275332797284017,485.596086372541
DTW-D,by-max,CMN,UPGMA,PNCC,0.334494773519164,624.831838171047
DTW-D,by-max,CMN,WPGMA,PNCC,0.368962744572501,662.621944682559
DTW-D,by-max,CMN,UPGMC,PNCC,0.513374430447601,1401.16200687587
DTW-D,by-max,CMN,WPGMC,PNCC,0.521575984990619,1326.41950226048
DTW-D,by-max,CMN,Ward,PNCC,0.378960064325918,536.420147867607
DTW-D,by-max,CMN,NJ,PNCC,0.289502367551148,414.349947385218
DTW-D,by-max,CMN,Single,PSRCC,0.742875011167694,1555.17074519821
DTW-D,by-max,CMN,Complete,PSRCC,0.716519253104619,1230.57000465598
DTW-D,by-max,CMN,UPGMA,PSRCC,0.709577414455463,1555.17074519821
DTW-D,by-max,CMN,WPGMA,PSRCC,0.715482891092647,1471.72424709263
DTW-D,by-max,CMN,UPGMC,PSRCC,0.710131332082552,1555.17074519821
DTW-D,by-max,CMN,WPGMC,PSRCC,0.712329134280354,1555.17074519821
DTW-D,by-max,CMN,Ward,PSRCC,0.707960332350576,1458.72257580303
DTW-D,by-max,CMN,NJ,PSRCC,0.738658089877602,1013.08393780002
DTW-D,by-max,CMN,Single,RPLP,0.57155364960243,1363.14201112485
DTW-D,by-max,CMN,Complete,RPLP,0.385026355758063,863.225851294086
DTW-D,by-max,CMN,UPGMA,RPLP,0.435120164388457,892.937594294448
DTW-D,by-max,CMN,WPGMA,RPLP,0.441418743857768,876.164119416084
DTW-D,by-max,CMN,UPGMC,RPLP,0.576628249798982,1523.79225786581
DTW-D,by-max,CMN,WPGMC,RPLP,0.663441436612168,1489.83686842322
DTW-D,by-max,CMN,Ward,RPLP,0.43293129634593,764.833298192041
DTW-D,by-max,CMN,NJ,RPLP,0.328776914142768,516.298197406523
DTW-D,by-max,CMVN,Single,BFCC,0.67567229518449,1512.00325948997
DTW-D,by-max,CMVN,Complete,BFCC,0.426561243634414,747.442752473063
DTW-D,by-max,CMVN,UPGMA,BFCC,0.483677298311445,919.338275805823
DTW-D,by-max,CMVN,WPGMA,BFCC,0.452363084070401,883.917272894829
DTW-D,by-max,CMVN,UPGMC,BFCC,0.57459126239614,1555.17074519821
DTW-D,by-max,CMVN,WPGMC,BFCC,0.640936299472885,1511.18469636946
DTW-D,by-max,CMVN,Ward,BFCC,0.409336192263022,694.944541243216
DTW-D,by-max,CMVN,NJ,BFCC,0.34353613865809,774.865275679093
DTW-D,by-max,CMVN,Single,CQCC,0.675663361029215,1524.96308447325
DTW-D,by-max,CMVN,Complete,CQCC,0.464325917984455,853.822716955944
DTW-D,by-max,CMVN,UPGMA,CQCC,0.508621459840972,1138.9798611428
DTW-D,by-max,CMVN,WPGMA,CQCC,0.417662824979898,856.282834406029
DTW-D,by-max,CMVN,UPGMC,CQCC,0.580166175288127,1555.17074519821
DTW-D,by-max,CMVN,WPGMC,CQCC,0.646475475743768,1555.17074519821
DTW-D,by-max,CMVN,Ward,CQCC,0.510506566604128,947.052848999216
DTW-D,by-max,CMVN,NJ,CQCC,0.326409362994729,714.927949312005
DTW-D,by-max,CMVN,Single,GFCC,0.709952648977039,1489.34022290963
DTW-D,by-max,CMVN,Complete,GFCC,0.41718931475029,789.994710329486
DTW-D,by-max,CMVN,UPGMA,GFCC,0.457250067006165,947.355945613649
DTW-D,by-max,CMVN,WPGMA,GFCC,0.419565800053605,758.378391840422
DTW-D,by-max,CMVN,UPGMC,GFCC,0.551067631555436,1533.19953562191
DTW-D,by-max,CMVN,WPGMC,GFCC,0.620700437773609,1431.99016807991
DTW-D,by-max,CMVN,Ward,GFCC,0.50772804431341,866.333651736778
DTW-D,by-max,CMVN,NJ,GFCC,0.302492629321898,673.508235207282
DTW-D,by-max,CMVN,Single,IMFCC,0.655579379969624,1533.97446906627
DTW-D,by-max,CMVN,Complete,IMFCC,0.415214866434379,783.663604342374
DTW-D,by-max,CMVN,UPGMA,IMFCC,0.527177700348432,1200.8427597772
DTW-D,by-max,CMVN,WPGMA,IMFCC,0.410783525417672,958.03710535086
DTW-D,by-max,CMVN,UPGMC,IMFCC,0.60230501206111,1537.88135966188
DTW-D,by-max,CMVN,WPGMC,IMFCC,0.656347717323327,1537.88135966188
DTW-D,by-max,CMVN,Ward,IMFCC,0.516045742875011,1004.53208679172
DTW-D,by-max,CMVN,NJ,IMFCC,0.345716072545341,780.776252378825
DTW-D,by-max,CMVN,Single,LFCC,0.645841150719199,1537.88135966188
DTW-D,by-max,CMVN,Complete,LFCC,0.403573662110247,794.577174701756
DTW-D,by-max,CMVN,UPGMA,LFCC,0.464647547574377,982.177174781425
DTW-D,by-max,CMVN,WPGMA,LFCC,0.433556687215224,923.58579894655
DTW-D,by-max,CMVN,UPGMC,LFCC,0.579460377021353,1555.17074519821
DTW-D,by-max,CMVN,WPGMC,LFCC,0.651290985437327,1555.17074519821
DTW-D,by-max,CMVN,Ward,LFCC,0.50838023764853,931.661874880061
DTW-D,by-max,CMVN,NJ,LFCC,0.309398731349951,768.862406458572
DTW-D,by-max,CMVN,Single,logFBank,0.570070579826677,1416.83483215009
DTW-D,by-max,CMVN,Complete,logFBank,0.31551862771375,561.712053264665
DTW-D,by-max,CMVN,UPGMA,logFBank,0.395765210399357,801.5384516807
DTW-D,by-max,CMVN,WPGMA,logFBank,0.379263825605289,786.634180881003
DTW-D,by-max,CMVN,UPGMC,logFBank,0.549227195568659,1463.68496110674
DTW-D,by-max,CMVN,WPGMC,logFBank,0.569936567497543,1383.6790596417
DTW-D,by-max,CMVN,Ward,logFBank,0.345975163048334,588.699637482019
DTW-D,by-max,CMVN,NJ,logFBank,0.270222460466363,523.706424444641
DTW-D,by-max,CMVN,Single,LPCC,0.559948181899401,1513.91031666129
DTW-D,by-max,CMVN,Complete,LPCC,0.378951130170642,745.836415027954
DTW-D,by-max,CMVN,UPGMA,LPCC,0.398525864379523,885.932901102742
DTW-D,by-max,CMVN,WPGMA,LPCC,0.35112123648709,880.161019292259
DTW-D,by-max,CMVN,UPGMC,LPCC,0.552255874207094,1468.36678514672
DTW-D,by-max,CMVN,WPGMC,LPCC,0.518082730277852,1394.98008641406
DTW-D,by-max,CMVN,Ward,LPCC,0.471607254534084,768.957668329987
DTW-D,by-max,CMVN,NJ,LPCC,0.325873313678192,590.477426964932
DTW-D,by-max,CMVN,Single,MFCC,0.599419279907085,1530.59199942945
DTW-D,by-max,CMVN,Complete,MFCC,0.436576431698383,889.481616023489
DTW-D,by-max,CMVN,UPGMA,MFCC,0.443268113999821,900.133231964468
DTW-D,by-max,CMVN,WPGMA,MFCC,0.403475386402216,950.412742413281
DTW-D,by-max,CMVN,UPGMC,MFCC,0.569382649870455,1555.17074519821
DTW-D,by-max,CMVN,WPGMC,MFCC,0.632663271687662,1509.65141802402
DTW-D,by-max,CMVN,Ward,MFCC,0.422683820244796,825.254739356933
DTW-D,by-max,CMVN,NJ,MFCC,0.314884302689181,748.660405682255
DTW-D,by-max,CMVN,Single,MSRCC,0.629161082819619,1537.88135966188
DTW-D,by-max,CMVN,Complete,MSRCC,0.444608237291164,891.34638362813
DTW-D,by-max,CMVN,UPGMA,MSRCC,0.497971946752435,998.496426992042
DTW-D,by-max,CMVN,WPGMA,MSRCC,0.455588314124899,886.235220260648
DTW-D,by-max,CMVN,UPGMC,MSRCC,0.597712856249442,1537.88135966188
DTW-D,by-max,CMVN,WPGMC,MSRCC,0.629446975788439,1537.88135966188
DTW-D,by-max,CMVN,Ward,MSRCC,0.397927275976056,868.259584143635
DTW-D,by-max,CMVN,NJ,MSRCC,0.304422406861431,787.457384146846
DTW-D,by-max,CMVN,Single,NGCC,0.651496471008666,1504.71389925754
DTW-D,by-max,CMVN,Complete,NGCC,0.429679263825605,879.422501089393
DTW-D,by-max,CMVN,UPGMA,NGCC,0.444563566514786,848.447194516206
DTW-D,by-max,CMVN,WPGMA,NGCC,0.427043688019298,904.310374909143
DTW-D,by-max,CMVN,UPGMC,NGCC,0.566094880729027,1555.17074519821
DTW-D,by-max,CMVN,WPGMC,NGCC,0.616117216117216,1511.18469636946
DTW-D,by-max,CMVN,Ward,NGCC,0.509452336281605,909.084129097212
DTW-D,by-max,CMVN,NJ,NGCC,0.345117484141874,748.339896382807
DTW-D,by-max,CMVN,Single,PNCC,0.671580452068257,1475.64890234022
DTW-D,by-max,CMVN,Complete,PNCC,0.442758867149111,858.452494897089
DTW-D,by-max,CMVN,UPGMA,PNCC,0.439077995175556,938.888716399578
DTW-D,by-max,CMVN,WPGMA,PNCC,0.472840167962119,939.63073660966
DTW-D,by-max,CMVN,UPGMC,PNCC,0.562405074600197,1555.17074519821
DTW-D,by-max,CMVN,WPGMC,PNCC,0.667131242740999,1510.01398810341
DTW-D,by-max,CMVN,Ward,PNCC,0.510676315554364,931.02163956658
DTW-D,by-max,CMVN,NJ,PNCC,0.348807290270705,674.534621537597
DTW-D,by-max,CMVN,Single,PSRCC,0.721549182524792,1555.17074519821
DTW-D,by-max,CMVN,Complete,PSRCC,0.758876083266327,1183.14873989249
DTW-D,by-max,CMVN,UPGMA,PSRCC,0.735495398910033,1555.17074519821
DTW-D,by-max,CMVN,WPGMA,PSRCC,0.732824086482623,1388.65014305361
DTW-D,by-max,CMVN,UPGMC,PSRCC,0.735620477083892,1555.17074519821
DTW-D,by-max,CMVN,WPGMC,PSRCC,0.729473778254266,1555.17074519821
DTW-D,by-max,CMVN,Ward,PSRCC,0.735120164388457,1533.08951927986
DTW-D,by-max,CMVN,NJ,PSRCC,0.765871526847137,972.575016947476
DTW-D,by-max,CMVN,Single,RPLP,0.618868935942107,1537.88135966188
DTW-D,by-max,CMVN,Complete,RPLP,0.479942821406236,883.707553585639
DTW-D,by-max,CMVN,UPGMA,RPLP,0.560493165371214,1268.15506481628
DTW-D,by-max,CMVN,WPGMA,RPLP,0.501679621191816,876.886638798328
DTW-D,by-max,CMVN,UPGMC,RPLP,0.601500938086304,1542.56318370185
DTW-D,by-max,CMVN,WPGMC,RPLP,0.626311087286697,1542.56318370185
DTW-D,by-max,CMVN,Ward,RPLP,0.440418118466899,1068.68350166252
DTW-D,by-max,CMVN,NJ,RPLP,0.332100419905298,803.655122995124
DTW-D,by-max,MMN,Single,BFCC,0.602170999731975,1345.12804988783
DTW-D,by-max,MMN,Complete,BFCC,0.420396676494237,732.242519749643
DTW-D,by-max,MMN,UPGMA,BFCC,0.456982042347896,828.407267716114
DTW-D,by-max,MMN,WPGMA,BFCC,0.439908871616189,927.374882238515
DTW-D,by-max,MMN,UPGMC,BFCC,0.573188600017868,1533.19953562191
DTW-D,by-max,MMN,WPGMC,BFCC,0.64302689180738,1449.41879412665
DTW-D,by-max,MMN,Ward,BFCC,0.433967658357902,715.855233380344
DTW-D,by-max,MMN,NJ,BFCC,0.283552220137586,573.891680978354
DTW-D,by-max,MMN,Single,CQCC,0.471991423210935,1073.15658624715
DTW-D,by-max,MMN,Complete,CQCC,0.334307156258376,560.852405601952
DTW-D,by-max,MMN,UPGMA,CQCC,0.339721254355401,574.680511880873
DTW-D,by-max,MMN,WPGMA,CQCC,0.34245510586974,640.086104653237
DTW-D,by-max,MMN,UPGMC,CQCC,0.563378897525239,1500.65034002346
DTW-D,by-max,MMN,WPGMC,CQCC,0.599383543285982,1285.18146192114
DTW-D,by-max,MMN,Ward,CQCC,0.390038416867685,471.848538318051
DTW-D,by-max,MMN,NJ,CQCC,0.265022782095953,391.156865760125
DTW-D,by-max,MMN,Single,GFCC,0.738917180380595,1505.5458493729
DTW-D,by-max,MMN,Complete,GFCC,0.477780755829536,877.332996036489
DTW-D,by-max,MMN,UPGMA,GFCC,0.54751183775574,1003.55244182556
DTW-D,by-max,MMN,WPGMA,GFCC,0.491994996873046,989.509024348383
DTW-D,by-max,MMN,UPGMC,GFCC,0.717010631644778,1535.20499649728
DTW-D,by-max,MMN,WPGMC,GFCC,0.661413383364603,1292.14173425854
DTW-D,by-max,MMN,Ward,GFCC,0.489716787277763,855.442623546622
DTW-D,by-max,MMN,NJ,GFCC,0.318118466898955,660.087060708264
DTW-D,by-max,MMN,Single,IMFCC,0.515777718216743,1239.07137146528
DTW-D,by-max,MMN,Complete,IMFCC,0.367247386759582,684.560564008727
DTW-D,by-max,MMN,UPGMA,IMFCC,0.362574823550433,734.731309010586
DTW-D,by-max,MMN,WPGMA,IMFCC,0.44259805235415,722.357749265307
DTW-D,by-max,MMN,UPGMC,IMFCC,0.583561154292862,1533.19953562191
DTW-D,by-max,MMN,WPGMC,IMFCC,0.539220941659966,1365.96384842031
DTW-D,by-max,MMN,Ward,IMFCC,0.41682301438399,658.999760847176
DTW-D,by-max,MMN,NJ,IMFCC,0.356017153578129,623.026030660553
DTW-D,by-max,MMN,Single,LFCC,0.474135620477084,1228.85911714663
DTW-D,by-max,MMN,Complete,LFCC,0.344465290806754,686.606268589839
DTW-D,by-max,MMN,UPGMA,LFCC,0.356294112391673,689.670043968313
DTW-D,by-max,MMN,WPGMA,LFCC,0.406745287233092,798.195341108512
DTW-D,by-max,MMN,UPGMC,LFCC,0.581711784150808,1524.61082098632
DTW-D,by-max,MMN,WPGMC,LFCC,0.536835522201376,1352.99371684457
DTW-D,by-max,MMN,Ward,LFCC,0.422371124810149,615.006163488494
DTW-D,by-max,MMN,NJ,LFCC,0.279442508710801,520.46426017935
DTW-D,by-max,MMN,Single,logFBank,0.514634146341463,1240.26159263226
DTW-D,by-max,MMN,Complete,logFBank,0.335450728133655,558.935843367503
DTW-D,by-max,MMN,UPGMA,logFBank,0.367122308585723,713.469219647381
DTW-D,by-max,MMN,WPGMA,logFBank,0.360743321718931,713.364552172256
DTW-D,by-max,MMN,UPGMC,logFBank,0.560198338247119,1500.28776994408
DTW-D,by-max,MMN,WPGMC,logFBank,0.599267399267399,1375.16653646066
DTW-D,by-max,MMN,Ward,logFBank,0.391155186277138,542.726726946291
DTW-D,by-max,MMN,NJ,logFBank,0.272929509514875,523.045046313643
DTW-D,by-max,MMN,Single,LPCC,0.482131689448763,1145.46152282603
DTW-D,by-max,MMN,Complete,LPCC,0.327213436969535,708.21811918454
DTW-D,by-max,MMN,UPGMA,LPCC,0.393111766282498,793.014676419325
DTW-D,by-max,MMN,WPGMA,LPCC,0.430242115607969,771.834790768977
DTW-D,by-max,MMN,UPGMC,LPCC,0.607602966139552,1482.28367470118
DTW-D,by-max,MMN,WPGMC,LPCC,0.606200303761279,1180.30924447599
DTW-D,by-max,MMN,Ward,LPCC,0.352416689002055,631.178735858956
DTW-D,by-max,MMN,NJ,LPCC,0.281622442598052,674.261649625865
DTW-D,by-max,MMN,Single,MFCC,0.450799606897168,1023.04905115861
DTW-D,by-max,MMN,Complete,MFCC,0.317323327079425,518.459853338079
DTW-D,by-max,MMN,UPGMA,MFCC,0.337791476815867,544.492873594594
DTW-D,by-max,MMN,WPGMA,MFCC,0.397435897435897,685.174330321795
DTW-D,by-max,MMN,UPGMC,MFCC,0.560484231215938,1452.49266188705
DTW-D,by-max,MMN,WPGMC,MFCC,0.563423568301617,1287.68771649401
DTW-D,by-max,MMN,Ward,MFCC,0.390038416867685,471.848538318051
DTW-D,by-max,MMN,NJ,MFCC,0.26729205753596,425.814651791049
DTW-D,by-max,MMN,Single,MSRCC,0.500964888769767,1079.87103253353
DTW-D,by-max,MMN,Complete,MSRCC,0.416349504154382,725.219423455075
DTW-D,by-max,MMN,UPGMA,MSRCC,0.401500938086304,733.796250584504
DTW-D,by-max,MMN,WPGMA,MSRCC,0.37357276869472,729.902933966846
DTW-D,by-max,MMN,UPGMC,MSRCC,0.56172607879925,1425.627501175
DTW-D,by-max,MMN,WPGMC,MSRCC,0.619824890556598,1311.87892502131
DTW-D,by-max,MMN,Ward,MSRCC,0.361270436880193,594.576671596299
DTW-D,by-max,MMN,NJ,MSRCC,0.271723398552667,543.191274005826
DTW-D,by-max,MMN,Single,NGCC,0.386616635397123,904.939641395781
