DTW	DistanceNormalization	FeatureNormalization	Clustering	Feature	Newick
DTW-D	by-sum	MMN	Single	RPLP	((((((((((((((((Swedish:0.058430,Norwegian:0.058430):0.001064,(((((((Lithuanian:0.052413,Latvian:0.052413):0.002449,Armenian:0.054863):0.001445,((((((((Serbian:0.037642,Bosnian:0.037642):0.008624,Croatian:0.046266):0.000411,Macedonian:0.046677):0.002372,Bulgarian:0.049049):0.000682,Ukrainian:0.049730):0.000782,Russian:0.050513):0.000551,(Slovak:0.046183,Czech:0.046183):0.004881):0.002027,Polish:0.053091):0.003216):0.000174,(((Welsh:0.052158,Italian:0.052158):0.001925,(Spanish:0.047276,Galician:0.047276):0.006807):0.000224,Portuguese:0.054306):0.002175):0.001482,Icelandic:0.057963):0.000093,Persian:0.058056):0.000063,Slovenian:0.058119):0.001376):0.000434,Romanian:0.059929):0.001403,Catalan:0.061331):0.000292,((((Urdu:0.055297,Nepali:0.055297):0.001335,Hindi:0.056631):0.000950,Bengali:0.057582):0.000167,Sinhala:0.057748):0.003875):0.000365,French:0.061989):0.000093,Albanian:0.062082):0.000719,(Dutch:0.057615,Afrikaans:0.057615):0.005186):0.000015,Greek:0.062815):0.000292,Danish:0.063108):0.001164,English:0.064272):0.000780,German:0.065052):0.000297,Pashto:0.065349):0.002458,Marathi:0.067807):0.000380,Gujarati:0.068187):0.000820,Irish:0.069007);
DTW-D	by-sum	MMN	Complete	RPLP	((((((((((Welsh:0.052158,Italian:0.052158):0.011164,Romanian:0.063322):0.005757,((Spanish:0.047276,Galician:0.047276):0.010588,Portuguese:0.057864):0.011216):0.002329,Catalan:0.071409):0.004696,French:0.076105):0.008946,(((Icelandic:0.057963,Armenian:0.057963):0.007752,Persian:0.065714):0.007072,Greek:0.072786):0.012265):0.002136,(((((Croatian:0.049049,Bulgarian:0.049049):0.007604,((Serbian:0.037642,Bosnian:0.037642):0.009813,Macedonian:0.047454):0.009198):0.009407,Slovenian:0.066059):0.000898,(((Ukrainian:0.051758,Russian:0.051758):0.005106,Polish:0.056863):0.000245,(Slovak:0.046183,Czech:0.046183):0.010925):0.009848):0.009780,(Lithuanian:0.052413,Latvian:0.052413):0.024323):0.010451):0.006072,((((Dutch:0.057615,Afrikaans:0.057615):0.012984,English:0.070598):0.005610,German:0.076208):0.005612,((Swedish:0.058430,Norwegian:0.058430):0.008527,Danish:0.066958):0.014862):0.011439):0.001619,(((Sinhala:0.062082,Albanian:0.062082):0.016678,Pashto:0.078760):0.008727,Irish:0.087487):0.007391):0.007638,((((Urdu:0.055297,Nepali:0.055297):0.004388,Hindi:0.059684):0.009837,Bengali:0.069521):0.006474,(Marathi:0.068187,Gujarati:0.068187):0.007808):0.026521);
DTW-D	by-sum	MMN	UPGMA	RPLP	((((((((((Urdu:0.055297,Nepali:0.055297):0.002861,Hindi:0.058158):0.006483,Bengali:0.064641):0.007180,(Sinhala:0.062082,Albanian:0.062082):0.009740):0.003032,Pashto:0.074854):0.001039,(((((((Spanish:0.047276,Galician:0.047276):0.008810,Portuguese:0.056085):0.005400,(Welsh:0.052158,Italian:0.052158):0.009327):0.003825,Romanian:0.065310):0.001467,Catalan:0.066776):0.002995,French:0.069772):0.001431,((((Icelandic:0.057963,Armenian:0.057963):0.003922,Persian:0.061885):0.003109,(Lithuanian:0.052413,Latvian:0.052413):0.012581):0.002331,((((((((Serbian:0.037642,Bosnian:0.037642):0.009424,Macedonian:0.047066):0.004442,Ukrainian:0.051507):0.001300,(Croatian:0.049049,Bulgarian:0.049049):0.003759):0.002351,(Slovak:0.046183,Czech:0.046183):0.008975):0.000893,Russian:0.056051):0.001723,Polish:0.057774):0.006597,Slovenian:0.064371):0.002954):0.003877):0.004691):0.001746,Greek:0.077639):0.001270,(((Dutch:0.057615,Afrikaans:0.057615):0.013015,German:0.070630):0.002493,(((Swedish:0.058430,Norwegian:0.058430):0.007115,Danish:0.065546):0.003160,English:0.068706):0.004417):0.005786):0.004678,(Marathi:0.068187,Gujarati:0.068187):0.015401):0.000681,Irish:0.084268);
DTW-D	by-sum	MMN	WPGMA	RPLP	((((((((((Icelandic:0.057963,Armenian:0.057963):0.003922,Persian:0.061885):0.004538,(Lithuanian:0.052413,Latvian:0.052413):0.014010):0.003594,Greek:0.070017):0.006839,(((((Slovak:0.046183,Czech:0.046183):0.009495,Polish:0.055679):0.000590,((((Serbian:0.037642,Bosnian:0.037642):0.009424,Macedonian:0.047066):0.004603,Ukrainian:0.051669):0.001673,Russian:0.053342):0.002927):0.002151,(Croatian:0.049049,Bulgarian:0.049049):0.009372):0.005165,Slovenian:0.063585):0.013270):0.000912,(((((Welsh:0.052158,Italian:0.052158):0.009468,Romanian:0.061626):0.003282,((Spanish:0.047276,Galician:0.047276):0.008810,Portuguese:0.056085):0.008822):0.002566,Catalan:0.067474):0.005243,French:0.072717):0.005051):0.003879,((Sinhala:0.062082,Albanian:0.062082):0.013746,Pashto:0.075828):0.005818):0.001100,((Marathi:0.068187,Gujarati:0.068187):0.004575,(((Urdu:0.055297,Nepali:0.055297):0.002861,Hindi:0.058158):0.007703,Bengali:0.065861):0.006900):0.009985):0.004715,(((Dutch:0.057615,Afrikaans:0.057615):0.013015,German:0.070630):0.003370,(((Swedish:0.058430,Norwegian:0.058430):0.007115,Danish:0.065546):0.002832,English:0.068378):0.005622):0.013462):0.001164,Irish:0.088626);
DTW-D	by-sum	MMN	UPGMC	RPLP	((((((((((((((((Dutch:0.057615,Afrikaans:0.057615):-0.005790,((((((((((((Spanish:0.047276,Galician:0.047276):0.003616,Portuguese:0.050892):-0.001069,(((((((((((((Serbian:0.037642,Bosnian:0.037642):0.005499,Macedonian:0.043140):-0.000637,Croatian:0.042503):0.001584,Ukrainian:0.044087):-0.001060,Czech:0.043027):0.000094,Bulgarian:0.043121):0.000683,Slovak:0.043804):0.000313,Russian:0.044117):0.001546,Polish:0.045664):0.003850,Welsh:0.049514):-0.000657,Lithuanian:0.048857):0.000398,Armenian:0.049255):0.000261,Italian:0.049516):0.000307):0.002009,Nepali:0.051832):0.000144,Icelandic:0.051976):0.000723,Romanian:0.052700):-0.000178,Persian:0.052522):0.000508,Swedish:0.053030):0.001575,Urdu:0.054604):0.001667,French:0.056271):0.000321,Slovenian:0.056592):0.000714,Latvian:0.057307):-0.005482):0.006588,Norwegian:0.058412):0.000899,Catalan:0.059312):0.000386,Pashto:0.059698):0.000342,English:0.060040):0.000384,Greek:0.060424):0.000471,Bengali:0.060895):0.000043,Sinhala:0.060938):-0.000564,Albanian:0.060374):0.001428,Hindi:0.061803):0.001733,Marathi:0.063535):0.000328,Danish:0.063863):0.002562,Irish:0.066425):-0.000007,German:0.066419):0.001806,Gujarati:0.068224);
DTW-D	by-sum	MMN	WPGMC	RPLP	((((((((((((((Dutch:0.057615,Afrikaans:0.057615):-0.005463,((((((((((((Spanish:0.047276,Galician:0.047276):0.003616,Portuguese:0.050892):0.000197,Italian:0.051089):-0.002620,Welsh:0.048469):-0.000044,(((((Slovak:0.046183,Czech:0.046183):-0.003149,((((Serbian:0.037642,Bosnian:0.037642):0.005499,Macedonian:0.043140):0.000694,Croatian:0.043834):-0.000952,Bulgarian:0.042882):0.000152):0.000122,Ukrainian:0.043156):0.001447,Russian:0.044603):0.002818,Polish:0.047421):0.001004):-0.000477,Lithuanian:0.047948):-0.001612,Armenian:0.046336):0.003367,Icelandic:0.049703):0.001127,Swedish:0.050830):0.000599,Norwegian:0.051428):0.004061,Danish:0.055490):0.001889,English:0.057379):-0.005227):0.007714,German:0.059867):0.004383,Persian:0.064250):-0.003681,(Sinhala:0.062082,Albanian:0.062082):-0.001513):-0.001794,(((((Urdu:0.055297,Nepali:0.055297):-0.004108,Hindi:0.051188):0.006470,Bengali:0.057658):0.003732,Marathi:0.061391):-0.002666,Gujarati:0.058724):0.000050):-0.000130,Romanian:0.058644):0.002041,French:0.060685):0.002800,Catalan:0.063485):0.004304,Latvian:0.067789):-0.003114,Greek:0.064675):0.004923,Pashto:0.069598):0.002610,Slovenian:0.072207):0.003196,Irish:0.075403);
DTW-D	by-sum	MMN	Ward	RPLP	((((((((Lithuanian:0.052413,Latvian:0.052413):0.022388,Greek:0.074801):0.006683,(((Icelandic:0.057963,Armenian:0.057963):0.005330,Persian:0.063293):0.010003,Pashto:0.073296):0.008188):0.008378,Irish:0.089862):0.017465,((((Spanish:0.047276,Galician:0.047276):0.011489,Portuguese:0.058765):0.012944,Catalan:0.071709):0.008988,(((Welsh:0.052158,Italian:0.052158):0.012345,Romanian:0.064503):0.005415,French:0.069918):0.010779):0.026630):0.018932,(((Dutch:0.057615,Afrikaans:0.057615):0.017128,German:0.074743):0.012950,((English:0.067394,Danish:0.067394):0.004270,(Swedish:0.058430,Norwegian:0.058430):0.013234):0.016028):0.038566):0.013914,(((((Urdu:0.055297,Nepali:0.055297):0.003811,Hindi:0.059107):0.009224,Bengali:0.068331):0.015721,(Marathi:0.068187,Gujarati:0.068187):0.015865):0.014537,(Sinhala:0.062082,Albanian:0.062082):0.036508):0.041583):0.006428,(((((Serbian:0.037642,Bosnian:0.037642):0.012172,Macedonian:0.049814):0.008803,(Croatian:0.049049,Bulgarian:0.049049):0.009569):0.011215,Slovenian:0.069832):0.002313,(((Ukrainian:0.051758,Russian:0.051758):0.005929,Polish:0.057686):0.003440,(Slovak:0.046183,Czech:0.046183):0.014943):0.011019):0.074456);
DTW-D	by-sum	MMN	NJ	RPLP	((((Ukrainian:0.02494,((Russian:0.02776,Polish:0.02911)Inner20:0.00113,(Slovak:0.02561,Czech:0.02057)Inner14:0.00335)Inner22:0.00127)Inner24:0.00065,((Slovenian:0.03534,(Croatian:0.02269,Bulgarian:0.02636)Inner19:0.00112)Inner21:0.00082,(Macedonian:0.02505,(Serbian:0.02098,Bosnian:0.01666)Inner7:0.00320)Inner16:0.00318)Inner23:0.00116)Inner25:0.00634,((((Lithuanian:0.02096,Latvian:0.03145)Inner13:0.00559,Greek:0.03776)Inner33:0.00164,Armenian:0.02576)Inner36:0.00035,(Icelandic:0.02798,((English:0.03553,(Swedish:0.02757,(Norwegian:0.03031,Danish:0.03383)Inner6:0.00306)Inner15:0.00146)Inner18:0.00129,((German:0.03599,Dutch:0.02907)Inner5:0.00339,Afrikaans:0.03100)Inner11:0.00282)Inner26:0.00037)Inner27:0.00444)Inner37:0.00125)Inner38:0.00053,((Romanian:0.03239,(French:0.03620,(Italian:0.02541,((Portuguese:0.02860,(Spanish:0.02169,Galician:0.02558)Inner1:0.00385)Inner8:0.00284,Catalan:0.03560)Inner17:0.00204)Inner28:0.00135)Inner31:0.00087)Inner32:0.00290,((Persian:0.02938,Pashto:0.03639)Inner30:0.00163,((((Urdu:0.02523,Hindi:0.03140)Inner3:0.00452,(Marathi:0.03214,Gujarati:0.03604)Inner2:0.00530)Inner10:0.00081,(Nepali:0.02410,Bengali:0.03348)Inner9:0.00176)Inner12:0.00344,(Sinhala:0.03083,Albanian:0.03125)Inner4:0.00707)Inner29:0.00268)Inner34:0.00218)Inner39:0.00023,(Welsh:0.02525,Irish:0.04376)Inner35:0.00178)Inner40:0.00000;
DTW-D	by-sum	MMVN	Single	BFCC	((((((((((((((((((((((((((((Ukrainian:0.024479,Russian:0.024479):0.000478,(((Serbian:0.018744,Bosnian:0.018744):0.002964,Croatian:0.021709):0.001122,Macedonian:0.022830):0.002127):0.001027,Bulgarian:0.025984):0.000252,Polish:0.026236):0.000775,(Lithuanian:0.025370,Latvian:0.025370):0.001640):0.000069,Armenian:0.027080):0.000107,(Slovak:0.026764,Czech:0.026764):0.000423):0.000245,Sinhala:0.027432):0.000121,Nepali:0.027553):0.000377,Albanian:0.027930):0.000055,(Welsh:0.027751,Italian:0.027751):0.000234):0.000004,((Spanish:0.026172,Galician:0.026172):0.000848,Portuguese:0.027020):0.000969):0.000176,Slovenian:0.028165):0.000015,(Urdu:0.026692,Hindi:0.026692):0.001489):0.000077,Romanian:0.028257):0.000359,Bengali:0.028616):0.000029,Persian:0.028645):0.000145,(Marathi:0.028448,Gujarati:0.028448):0.000342):0.000277,Icelandic:0.029067):0.000347,(Swedish:0.028447,Norwegian:0.028447):0.000967):0.000424,Catalan:0.029838):0.000283,Pashto:0.030121):0.000691,English:0.030812):0.000218,Greek:0.031030):0.000128,((Dutch:0.026698,Afrikaans:0.026698):0.003744,German:0.030441):0.000717):0.000091,French:0.031249):0.001593,Danish:0.032842):0.000434,Irish:0.033277);
DTW-D	by-sum	MMVN	Complete	BFCC	((((((((Lithuanian:0.025370,Latvian:0.025370):0.008672,Greek:0.034042):0.001581,((Persian:0.030815,Pashto:0.030815):0.001791,((Sinhala:0.027432,Armenian:0.027432):0.002044,Albanian:0.029476):0.003131):0.003016):0.000928,(((((Ukrainian:0.024479,Russian:0.024479):0.003356,Polish:0.027835):0.002182,(Slovak:0.026764,Czech:0.026764):0.003253):0.001259,((Macedonian:0.025984,Bulgarian:0.025984):0.001638,((Serbian:0.018744,Bosnian:0.018744):0.003591,Croatian:0.022335):0.005287):0.003654):0.000936,Slovenian:0.032213):0.004338):0.001684,(((Nepali:0.028616,Bengali:0.028616):0.003509,(Urdu:0.026692,Hindi:0.026692):0.005433):0.001136,(Marathi:0.028448,Gujarati:0.028448):0.004812):0.004974):0.000154,(((((Spanish:0.026172,Galician:0.026172):0.001580,Portuguese:0.027753):0.004072,Catalan:0.031824):0.001563,((Welsh:0.027751,Italian:0.027751):0.002894,Romanian:0.030645):0.002743):0.002297,French:0.035684):0.002705):0.001818,Irish:0.040207):0.000644,((((Swedish:0.028447,Norwegian:0.028447):0.003171,Icelandic:0.031618):0.001967,Danish:0.033585):0.002530,(((Dutch:0.026698,Afrikaans:0.026698):0.006074,English:0.032772):0.000675,German:0.033446):0.002668):0.004737);
DTW-D	by-sum	MMVN	UPGMA	BFCC	(((((((((((((Sinhala:0.027432,Armenian:0.027432):0.000683,Nepali:0.028115):0.001079,Albanian:0.029194):0.000725,(Lithuanian:0.025370,Latvian:0.025370):0.004549):0.000398,Persian:0.030317):0.001266,Pashto:0.031583):0.000422,((((Slovak:0.026764,Czech:0.026764):0.001335,Polish:0.028099):0.000841,(((Ukrainian:0.024479,Russian:0.024479):0.001970,(((Serbian:0.018744,Bosnian:0.018744):0.003277,Croatian:0.022022):0.002197,Macedonian:0.024219):0.002230):0.001349,Bulgarian:0.027798):0.001142):0.001422,Slovenian:0.030362):0.001643):0.000968,((((Welsh:0.027751,Italian:0.027751):0.001700,Romanian:0.029451):0.001314,((Spanish:0.026172,Galician:0.026172):0.001214,Portuguese:0.027386):0.003379):0.000875,Catalan:0.031640):0.001332):0.000931,Greek:0.033903):0.000518,((((Swedish:0.028447,Norwegian:0.028447):0.002069,Icelandic:0.030516):0.002639,Danish:0.033155):0.000666,(((Dutch:0.026698,Afrikaans:0.026698):0.005139,German:0.031836):0.000903,English:0.032740):0.001082):0.000600):0.000544,(((Marathi:0.028448,Gujarati:0.028448):0.002362,(Urdu:0.026692,Hindi:0.026692):0.004119):0.001391,Bengali:0.032202):0.002764):0.000434,French:0.035399):0.002117,Irish:0.037516);
DTW-D	by-sum	MMVN	WPGMA	BFCC	((((((((((((Sinhala:0.027432,Armenian:0.027432):0.000683,Nepali:0.028115):0.001325,Albanian:0.029440):0.001107,(Lithuanian:0.025370,Latvian:0.025370):0.005177):0.000130,Persian:0.030677):0.000902,Pashto:0.031579):0.002734,(((((Ukrainian:0.024479,Russian:0.024479):0.003030,Polish:0.027509):0.001172,((((Serbian:0.018744,Bosnian:0.018744):0.003277,Croatian:0.022022):0.002686,Macedonian:0.024708):0.001926,Bulgarian:0.026634):0.002047):0.000780,(Slovak:0.026764,Czech:0.026764):0.002698):0.001889,Slovenian:0.031350):0.002962):0.000772,Greek:0.035085):0.000384,(((Marathi:0.028448,Gujarati:0.028448):0.002362,(Urdu:0.026692,Hindi:0.026692):0.004119):0.001391,Bengali:0.032202):0.003268):0.000725,(((((Welsh:0.027751,Italian:0.027751):0.001700,Romanian:0.029451):0.001747,((Spanish:0.026172,Galician:0.026172):0.001214,Portuguese:0.027386):0.003811):0.000644,Catalan:0.031842):0.002795,French:0.034637):0.001558):0.000200,((((Swedish:0.028447,Norwegian:0.028447):0.002069,Icelandic:0.030516):0.002561,Danish:0.033077):0.001312,(((Dutch:0.026698,Afrikaans:0.026698):0.005139,German:0.031836):0.001080,English:0.032916):0.001473):0.002006):0.002252,Irish:0.038647);
DTW-D	by-sum	MMVN	UPGMC	BFCC	(((((((((((((((((((((((((((((((((((((((((Serbian:0.018744,Bosnian:0.018744):0.001186,Croatian:0.019930):0.001088,Macedonian:0.021018):0.001066,Ukrainian:0.022084):-0.000540,Russian:0.021544):0.001169,Polish:0.022713):-0.000142,Bulgarian:0.022571):0.000267,Lithuanian:0.022838):0.000075,Slovak:0.022913):0.000071,Czech:0.022984):0.000475,Armenian:0.023459):-0.000083,Welsh:0.023376):0.000272,Sinhala:0.023648):-0.000197,Italian:0.023452):-0.000055,Nepali:0.023397):0.000675,Slovenian:0.024072):0.000232,Persian:0.024304):0.000267,Latvian:0.024570):-0.000045,Icelandic:0.024526):0.000300,Albanian:0.024826):0.000098,Romanian:0.024924):0.000108,Urdu:0.025032):0.000091,Portuguese:0.025123):-0.000176,Spanish:0.024947):-0.000332,Galician:0.024615):0.000605,Swedish:0.025220):0.000185,Dutch:0.025404):0.000139,Pashto:0.025543):0.000010,English:0.025552):0.000166,Afrikaans:0.025718):0.000110,Greek:0.025828):0.000089,Bengali:0.025917):0.000071,German:0.025989):0.000004,Hindi:0.025992):0.000814,Gujarati:0.026806):-0.000054,Marathi:0.026753):0.000112,French:0.026864):0.000465,Catalan:0.027329):0.000193,Norwegian:0.027522):0.000799,Danish:0.028320):0.001116,Irish:0.029436);
DTW-D	by-sum	MMVN	WPGMC	BFCC	((((((((((((((((((((Urdu:0.026692,Hindi:0.026692):0.000367,Gujarati:0.027059):-0.001988,Marathi:0.025071):0.002274,((((((((((((Lithuanian:0.025370,Latvian:0.025370):-0.001177,((((((((Serbian:0.018744,Bosnian:0.018744):0.001186,Croatian:0.019930):0.001737,Macedonian:0.021667):0.000883,Ukrainian:0.022550):-0.001403,Russian:0.021148):0.002343,Polish:0.023491):-0.000145,Slovak:0.023346):-0.000368,Czech:0.022978):0.001215):-0.001195,Armenian:0.022998):0.000291,Sinhala:0.023289):-0.000140,Nepali:0.023148):0.000722,Welsh:0.023870):-0.000100,Italian:0.023770):0.000744,Romanian:0.024514):0.001436,Spanish:0.025950):-0.003133,Galician:0.022817):0.000173,Portuguese:0.022990):0.003862,Catalan:0.026852):0.000493):-0.001588,(Dutch:0.026698,Afrikaans:0.026698):-0.000940):-0.001114,Icelandic:0.024644):0.000122,Swedish:0.024765):0.000295,Norwegian:0.025060):0.003427,Persian:0.028487):-0.001568,Albanian:0.026919):0.000147,Pashto:0.027066):0.002355,Greek:0.029420):-0.000732,Bulgarian:0.028688):-0.001380,Slovenian:0.027309):0.002306,English:0.029615):-0.001220,German:0.028395):0.001546,Bengali:0.029941):0.000585,French:0.030527):0.001181,Danish:0.031708):0.001737,Irish:0.033445);
DTW-D	by-sum	MMVN	Ward	BFCC	((((((((Lithuanian:0.025370,Latvian:0.025370):0.009270,Greek:0.034640):0.000849,((Persian:0.030815,Pashto:0.030815):0.001512,(((Sinhala:0.027432,Armenian:0.027432):0.000915,Nepali:0.028347):0.001499,Albanian:0.029846):0.002481):0.003163):0.004007,Irish:0.039496):0.005745,((((Welsh:0.027751,Italian:0.027751):0.002277,Romanian:0.030028):0.004152,French:0.034180):0.003442,(((Spanish:0.026172,Galician:0.026172):0.001610,Portuguese:0.027783):0.005275,Catalan:0.033057):0.004564):0.007620):0.004519,((((Swedish:0.028447,Norwegian:0.028447):0.002754,Icelandic:0.031201):0.003488,Danish:0.034689):0.005329,(((Dutch:0.026698,Afrikaans:0.026698):0.006715,German:0.033413):0.000514,English:0.033927):0.006091):0.009742):0.002339,(((Urdu:0.026692,Hindi:0.026692):0.006159,Bengali:0.032851):0.001648,(Marathi:0.028448,Gujarati:0.028448):0.006051):0.017600):0.010922,((((((Serbian:0.018744,Bosnian:0.018744):0.004269,Croatian:0.023014):0.002728,Macedonian:0.025742):0.003618,Bulgarian:0.029359):0.002794,Slovenian:0.032153):0.003328,(((Ukrainian:0.024479,Russian:0.024479):0.003971,Polish:0.028450):0.003364,(Slovak:0.026764,Czech:0.026764):0.005051):0.003667):0.027539);
DTW-D	by-sum	MMVN	NJ	BFCC	((((Lithuanian:0.01102,Latvian:0.01435)Inner15:0.00195,(((Ukrainian:0.01193,Russian:0.01255)Inner11:0.00149,(Polish:0.01321,(Slovak:0.01361,Czech:0.01316)Inner8:0.00151)Inner16:0.00062)Inner19:0.00013,(Slovenian:0.01589,((Macedonian:0.01230,Bulgarian:0.01368)Inner10:0.00044,(Croatian:0.01163,(Serbian:0.00999,Bosnian:0.00876)Inner1:0.00102)Inner5:0.00155)Inner12:0.00070)Inner17:0.00066)Inner20:0.00172)Inner33:0.00049,(((Welsh:0.01349,Irish:0.01979)Inner32:0.00050,(French:0.01776,(Romanian:0.01535,(Italian:0.01308,((Portuguese:0.01361,(Spanish:0.01300,Galician:0.01317)Inner7:0.00069)Inner9:0.00077,Catalan:0.01678)Inner14:0.00072)Inner23:0.00050)Inner26:0.00061)Inner31:0.00081)Inner36:0.00006,((Icelandic:0.01428,((Swedish:0.01308,Norwegian:0.01536)Inner6:0.00155,Danish:0.01753)Inner18:0.00074)Inner25:0.00089,(English:0.01634,(German:0.01615,(Dutch:0.01294,Afrikaans:0.01376)Inner3:0.00234)Inner24:0.00066)Inner27:0.00035)Inner30:0.00091)Inner37:0.00017)Inner38:0.00007,(Armenian:0.01341,((Nepali:0.01288,(((Urdu:0.01269,Hindi:0.01401)Inner4:0.00130,(Marathi:0.01432,Gujarati:0.01413)Inner2:0.00194)Inner13:0.00083,Bengali:0.01597)Inner21:0.00028)Inner22:0.00164,((Persian:0.01450,Pashto:0.01631)Inner29:0.00072,(Sinhala:0.01289,Albanian:0.01504)Inner28:0.00088)Inner34:0.00015)Inner35:0.00022)Inner39:0.00005,Greek:0.01762)Inner40:0.00000;
DTW-D	by-sum	MMVN	Single	CQCC	((((((((((((((((((((((((Ukrainian:0.038331,Russian:0.038331):0.001672,(((Serbian:0.028902,Bosnian:0.028902):0.004505,Croatian:0.033408):0.003629,Macedonian:0.037036):0.002967):0.000748,Bulgarian:0.040751):0.000923,Polish:0.041674):0.000026,(Slovak:0.040326,Czech:0.040326):0.001374):0.001057,(Lithuanian:0.039551,Latvian:0.039551):0.003206):0.002115,Armenian:0.044872):0.000989,Slovenian:0.045860):0.000437,(((Spanish:0.038559,Galician:0.038559):0.003486,Portuguese:0.042045):0.002969,Italian:0.045014):0.001284):0.000280,(((Nepali:0.044879,Bengali:0.044879):0.000751,(Urdu:0.042836,Hindi:0.042836):0.002794):0.000507,(Sinhala:0.045062,Albanian:0.045062):0.001075):0.000441):0.000154,Welsh:0.046732):0.000340,Persian:0.047072):0.000411,Icelandic:0.047483):0.000148,(Marathi:0.046191,Gujarati:0.046191):0.001440):0.000120,(Swedish:0.044722,Norwegian:0.044722):0.003028):0.000009,Romanian:0.047760):0.000154,Catalan:0.047914):0.001765,Pashto:0.049678):0.000720,Greek:0.050399):0.000719,((Dutch:0.042057,Afrikaans:0.042057):0.005530,German:0.047587):0.003530):0.000401,English:0.051518):0.000998,French:0.052517):0.000947,Danish:0.053463):0.001007,Irish:0.054471);
DTW-D	by-sum	MMVN	Complete	CQCC	(((((((((((Spanish:0.038559,Galician:0.038559):0.004902,Portuguese:0.043461):0.003436,Italian:0.046897):0.003671,Catalan:0.050568):0.005371,Romanian:0.055939):0.004116,French:0.060055):0.004384,Greek:0.064439):0.000610,((((((Ukrainian:0.038331,Russian:0.038331):0.005771,Polish:0.044102):0.002558,(Slovak:0.040326,Czech:0.040326):0.006335):0.002858,((Macedonian:0.040751,Bulgarian:0.040751):0.003368,((Serbian:0.028902,Bosnian:0.028902):0.004693,Croatian:0.033595):0.010524):0.005400):0.003473,Slovenian:0.052992):0.003934,(Lithuanian:0.039551,Latvian:0.039551):0.017375):0.008122):0.001250,(((((Persian:0.047453,Armenian:0.047453):0.002073,Welsh:0.049526):0.000996,(Sinhala:0.045062,Albanian:0.045062):0.005459):0.003526,Pashto:0.054047):0.006668,(((Nepali:0.044879,Bengali:0.044879):0.006490,(Urdu:0.042836,Hindi:0.042836):0.008533):0.002129,(Marathi:0.046191,Gujarati:0.046191):0.007307):0.007218):0.005583):0.001605,Irish:0.067904):0.000417,((((Dutch:0.042057,Afrikaans:0.042057):0.010473,German:0.052530):0.002080,English:0.054610):0.003897,(((Swedish:0.044722,Norwegian:0.044722):0.007307,Icelandic:0.052029):0.002438,Danish:0.054468):0.004039):0.009815);
DTW-D	by-sum	MMVN	UPGMA	CQCC	(((((((((((Persian:0.047453,Armenian:0.047453):0.001087,Welsh:0.048539):0.000412,(Sinhala:0.045062,Albanian:0.045062):0.003889):0.002955,Pashto:0.051906):0.001665,((((((((Serbian:0.028902,Bosnian:0.028902):0.004599,Croatian:0.033501):0.005388,Macedonian:0.038889):0.003453,(Ukrainian:0.038331,Russian:0.038331):0.004011):0.002067,Bulgarian:0.044410):0.001437,((Slovak:0.040326,Czech:0.040326):0.002733,Polish:0.043058):0.002788):0.003143,(Lithuanian:0.039551,Latvian:0.039551):0.009439):0.001653,Slovenian:0.050643):0.002928):0.001957,(((((Spanish:0.038559,Galician:0.038559):0.004194,Portuguese:0.042753):0.003418,Italian:0.046171):0.002979,Catalan:0.049150):0.004134,Romanian:0.053284):0.002244):0.002116,(((Nepali:0.044879,Bengali:0.044879):0.003562,(Urdu:0.042836,Hindi:0.042836):0.005605):0.002375,(Marathi:0.046191,Gujarati:0.046191):0.004626):0.006828):0.000841,((((Swedish:0.044722,Norwegian:0.044722):0.005168,Icelandic:0.049890):0.003975,Danish:0.053864):0.001296,(((Dutch:0.042057,Afrikaans:0.042057):0.008002,German:0.050059):0.003289,English:0.053347):0.001813):0.003324):0.001401,French:0.059886):0.000246,Greek:0.060132):0.002688,Irish:0.062819);
DTW-D	by-sum	MMVN	WPGMA	CQCC	(((((((((Nepali:0.044879,Bengali:0.044879):0.003562,(Urdu:0.042836,Hindi:0.042836):0.005605):0.002375,(Marathi:0.046191,Gujarati:0.046191):0.004626):0.007741,Pashto:0.058557):0.003009,((((((Spanish:0.038559,Galician:0.038559):0.004194,Portuguese:0.042753):0.003600,Italian:0.046353):0.002905,Catalan:0.049257):0.004221,Romanian:0.053478):0.004688,French:0.058167):0.003399):0.000718,((((((Dutch:0.042057,Afrikaans:0.042057):0.008002,German:0.050059):0.003507,((Swedish:0.044722,Norwegian:0.044722):0.005168,Icelandic:0.049890):0.003676):0.001160,((((((Slovak:0.040326,Czech:0.040326):0.002733,Polish:0.043058):0.001648,(Ukrainian:0.038331,Russian:0.038331):0.006375):0.001530,((((Serbian:0.028902,Bosnian:0.028902):0.004599,Croatian:0.033501):0.006101,Macedonian:0.039603):0.002682,Bulgarian:0.042285):0.003951):0.003248,(Lithuanian:0.039551,Latvian:0.039551):0.009934):0.002041,(((Persian:0.047453,Armenian:0.047453):0.001087,Welsh:0.048539):0.000543,(Sinhala:0.045062,Albanian:0.045062):0.004021):0.002444):0.003199):0.001264,English:0.055989):0.002047,Danish:0.058036):0.004247):0.000910,Slovenian:0.063193):0.000897,Greek:0.064091):0.002474,Irish:0.066564);
